chinese	english
成果-属性-简介，实体名：成果
	achievement_properties_introduction
	annotating_from_entity_values
	annotating_nlu_data
员工-属性-住址	employee_attribute_address
员工-属性-生日	employee_attribute_birthday
员工-属性-办公地点	employee_attribute_office__location
员工-属性-入职时间	employee_attribute_on_time
机构-属性-特色文化	institution_attribute_characteristic__culture
机构-属性-建设目标	institution_attribute_construction__goal
机构-属性-英文名	institution_attribute_english__name
机构-属性-评价	institution_attribute_evaluation
机构-属性-奠基时间	institution_attribute_foundation__time
机构-属性-位置	institution_attribute_location
机构-属性-吉祥物	institution_attribute_mascot
机构-属性-单位性质，实体：机构
	institution_attribute_nature__of__unit
机构-属性-代表歌曲	institution_attribute_representative__song
机构-属性-价值观	institution_attribute_values
机构-机构-关系	institution_institution_relationship
机构-成果，实体名：机构
	institution_outcome
机构-项目	institution_project
机构-项目	institution_project
机构-属性-联系电话	institution_attribute_contact__phone
机构-属性-论坛	institution_attribute_forum
机构-属性-简介	institution_attribute_introduction
机构-属性-网址	institution_attribute_url
机构-科研装置，实体名：机构
	institution_scientific__research__device
机构-职员-属性-职位	institution_staff_attribute_position
机构-子机构	institution_sub__institution
机构-属性-使命	institution_attribute_mission
机构-属性-人数	institution_attribute_number__of__people
机构-属性-战略目标	institution_attribute_strategic__objective
职位-属性-任期	position_attribute_term
项目-属性-名称	project_attribute_name
项目-属性-简介	project_attribute_introduction
项目-属性-上线时间	project_attribute_online__time
项目-属性-发布时间	project_attribute_release__time
科研装置-属性-简介	scientific__research__device_properties_introduction
	write_domain_file
	write_nlu_file
	write_rules_file
