关系	一级机构	二级机构	三级机构	党支部	姓名	职位
	之江实验室				朱世强	主任
	之江实验室				朱世强	党委书记
	之江实验室				袁继新	副主任
	之江实验室				鲍虎军	副主任
	之江实验室				郑宇化	副主任
	之江实验室				赵新龙	党委副书记
	之江实验室				夏春胜	纪委书记
	之江实验室				李碧清	主任助理
	之江实验室				陈伟	主任助理
	之江实验室				邬江兴	网络安全首席科学家
	之江实验室				潘云鹤	人工智能首席科学家
	之江实验室	基础理论研究院
	之江实验室	基础理论研究院	智能计算基础理论研究中心		万志国	副主任
	之江实验室	基础理论研究院	应用数学与机器智能研究中心
	之江实验室	基础理论研究院	生物计算研究中心
	之江实验室	人工智能研究院			刘明	首席科学家
	之江实验室	人工智能研究院	大数据智能研究中心
	之江实验室	人工智能研究院	跨媒体智能研究中心		李太豪	副主任
	之江实验室	人工智能研究院	混合增强智能研究中心
	之江实验室	智能网络研究院			邬江兴	院长
	之江实验室	智能网络研究院			张汝云	执行院长
	之江实验室	智能网络研究院			李顺斌	院长助理
	之江实验室	智能网络研究院	综合办公室		项金玲	主任
	之江实验室	智能网络研究院	工程部
	之江实验室	智能网络研究院	研究部
	之江实验室	智能感知研究院	量子传感研究中心		韩邦成	主任
	之江实验室	智能感知研究院	光纤传感研究中心		饶云江	主任
	之江实验室	智能感知研究院	光纤传感研究中心		陈建锋	副主任
	之江实验室	智能感知研究院	光纤传感研究中心		严国锋	副主任
	之江实验室	智能感知研究院	传感材料与器件研究中心
	之江实验室	智能感知研究院	类人感知研究中心		杨青	副主任
	之江实验室	智能感知研究院	传感系统研究中心		徐志伟	副主任
	之江实验室	智能计算研究院	智能超算研究中心		杨广文	主任
	之江实验室	智能计算研究院	智能超算研究中心		刘鹏	主任助理
	之江实验室	智能计算研究院	先进计算机研究中心		韩银和	主任
	之江实验室	智能计算研究院	智能计算平台研究中心
	之江实验室	智能计算研究院	智能计算硬件研究中心
	之江实验室	智能计算研究院	智能计算软件研究中心
	之江实验室	智能计算研究院	光电智能计算研究中心
	之江实验室	交叉创新研究院
	之江实验室	交叉创新研究院	智能机器人研究中心		顾建军	主任
	之江实验室	交叉创新研究院	智能机器人研究中心		张丹	首席科学家
	之江实验室	交叉创新研究院	智能机器人研究中心		李特	主任助理
	之江实验室	交叉创新研究院	智能机器人研究中心		谢安桓	副主任
	之江实验室	交叉创新研究院	智能机器人研究中心	智能机器人一支部	谢安桓	党支部书记
	之江实验室	交叉创新研究院	智能机器人研究中心	智能机器人二支部	宋伟	党支部书记
	之江实验室	交叉创新研究院	健康医疗大数据研究中心		李劲松	主任
	之江实验室	交叉创新研究院	健康医疗大数据研究中心		朱闻韬	副主任
	之江实验室	交叉创新研究院	金融科技研究中心		许浩	副主任
	之江实验室	交叉创新研究院	智能芯片与器件研究中心		玉虓	副主任
	之江实验室	交叉创新研究院	智能科技标准化研究中心		潘洋	副主任
	之江实验室	交叉创新研究院	浙江大数据和数字政府研究院
	之江实验室	交叉创新研究院	智能社会治理研究中心		董波	副主任
	之江实验室	交叉创新研究院	智慧交通研究中心
	之江实验室	交叉创新研究院	杭钢--之江数字经济联合创新研究中心（智能教育研究中心）		黄宝忠	主管
	之江实验室	交叉创新研究院	科艺融合研究中心
	之江实验室	交叉创新研究院	之江-燧原联合创新研究中心
	之江实验室	北京研究中心			李冠男	发展合作部副部长
	之江实验室	北京研究中心	综合事务办公室
	之江实验室	北京研究中心	重大项目办公室
	之江实验室	之江实验室科技控股有限公司			王海生	董事长
	之江实验室	之江发展基金会
	之江实验室	综合管理部			王磊	副部长
	之江实验室	综合管理部			莫璟华	副部长
	之江实验室	综合管理部			薛飞	副部长
	之江实验室	综合管理部			王洋	副部长
	之江实验室	综合管理部			刘文献	副部长
	之江实验室	综合管理部	综合事务中心		毛玉敏	副主任
	之江实验室	综合管理部	文秘督办中心		王凌云	副主任
	之江实验室	综合管理部	全球事务中心
	之江实验室	综合管理部	发展研究中心		张晨曦	副主任
	之江实验室	综合管理部	发展研究中心		孙韶阳	副主任
	之江实验室	党群工作部			彭玉生	部长
	之江实验室	党群工作部			刘炜彬	部长助理
	之江实验室	党群工作部			童淑娟	副部长
	之江实验室	党群工作部			史巧云	副部长
	之江实验室	党群工作部	综合事务中心
	之江实验室	党群工作部	组织和干部管理中心
	之江实验室	党群工作部	宣传和文化中心		陈航	副主任
	之江实验室	科研发展部			赵志峰	部长
	之江实验室	科研发展部			潘宇	副部长
	之江实验室	科研发展部			陈志伟	副部长
	之江实验室	科研发展部			姚淑燕	副部长
	之江实验室	科研发展部			刘松国	副部长
	之江实验室	科研发展部	综合事务中心		蔡毅	副主任
	之江实验室	科研发展部	科技计划与发展中心		黄利君	主任
	之江实验室	科研发展部	科技计划与发展中心		赵晓宇	副主任
	之江实验室	科研发展部	科技计划与发展中心		陈江博	副主任
	之江实验室	科研发展部	科技计划与发展中心		项文蕾	副主任
	之江实验室	科研发展部	项目管理与服务中心		蔡婷妮	副主任
	之江实验室	科研发展部	战略项目推进中心
	之江实验室	科研发展部	科研装置建设与管理中心
	之江实验室	科研发展部	之江实验室推进与中科院合作工作专班
	之江实验室	人力资源部			孙毅	副部长
	之江实验室	人力资源部			黄恺	副部长
	之江实验室	人力资源部			杜震宇	副部长
	之江实验室	人力资源部	综合事务中心		徐文韬	副主任
	之江实验室	人力资源部	业务支持中心
	之江实验室	人力资源部	人才发展与保障中心		肖文华	副主任
	之江实验室	人力资源部	人才发展与保障中心		张鸿	副主任
	之江实验室	人力资源部	博士后工作办公室
	之江实验室	财务资产部			朱明丰	部长
	之江实验室	财务资产部	综合事务中心
	之江实验室	财务资产部	财务与会计中心		王姚仙	主任
	之江实验室	财务资产部	财务与会计中心		王海军	副主任
	之江实验室	财务资产部	财务与会计中心		倪华斐	副主任
	之江实验室	财务资产部	采购与资产管理中心		钟旭伟	主任
	之江实验室	条件保障部			卢艳	副部长
	之江实验室	条件保障部			戴银燕	副部长
	之江实验室	条件保障部	综合事务中心
	之江实验室	条件保障部	信息化中心		张灵箭	主任
	之江实验室	条件保障部	信息化中心		温远周	副主任
	之江实验室	条件保障部	信息化中心		王梁昊	副主任
	之江实验室	条件保障部	基建管理中心		钮于蓝	主任
	之江实验室	条件保障部	基建管理中心		蒋华良	副主任
	之江实验室	条件保障部	基建管理中心		杨欢	副主任
	之江实验室	条件保障部	后勤服务中心		张强强	副主任
	之江实验室	条件保障部	计算与数据中心
	之江实验室	纪检监察审计部			石其富	部长
	之江实验室	纪检监察审计部			包军勇	副部长
	之江实验室	纪检监察审计部			张建红	副部长
	之江实验室	纪检监察审计部	综合事务中心
	之江实验室	纪检监察审计部	纪检监察中心
	之江实验室	纪检监察审计部	内部审计中心		钟晓英	主任
	之江实验室	纪检监察审计部	内部审计中心		戴鹏军	副主任
	之江实验室	发展合作部			陈光	部长
	之江实验室	发展合作部			吴丽娟	副部长
	之江实验室	发展合作部			赵杨健	副部长
	之江实验室	发展合作部	综合事务中心
	之江实验室	发展合作部	公共关系与合作促进中心
	之江实验室	发展合作部	成果转化与服务中心		王彦波	副主任
	之江实验室	发展合作部	之江实验室-美院科艺融合研究中心
	之江实验室	人才工作办公室			王春波	主任
	之江实验室	人才工作办公室			许春良	副主任
	之江实验室	人才工作办公室	综合事务中心		章军	主任
	之江实验室	人才工作办公室	人才引进中心		王璐	副主任
