action_name,file_name,key_column,value_column
action_achievement_properties_introduction,科研成果.csv,成果名称,简介
action_employee_attribute_birthday,人.csv,姓名,生日
action_employee_attribute_office__location,人.csv,姓名,办公地点
action_employee_attribute_on_time,人.csv,姓名,入职时间
action_institution_attribute_characteristic__culture,机构（属性信息）.csv,机构名|别称,特色文化
action_institution_attribute_construction__goal,机构（属性信息）.csv,机构名|别称,建设目标
action_institution_attribute_english__name,机构（属性信息）.csv,机构名|别称,英文名
action_institution_attribute_evaluation,机构（属性信息）.csv,机构名|别称,评价
action_institution_attribute_foundation__time,机构（属性信息）.csv,机构名|别称,奠基时间
action_institution_attribute_location,机构（属性信息）.csv,机构名|别称,位置
action_institution_attribute_mascot,机构（属性信息）.csv,机构名|别称,吉祥物
action_institution_attribute_nature__of__unit,机构（属性信息）.csv,机构名|别称,单位性质
action_institution_attribute_representative__song,机构（属性信息）.csv,机构名|别称,代表歌曲
action_institution_attribute_values,机构（属性信息）.csv,机构名|别称,价值观
action_institution_attribute_contact__phone,机构（属性信息）.csv,机构名|别称,联系电话
action_institution_attribute_forum,机构（属性信息）.csv,机构名|别称,论坛
action_institution_attribute_introduction,机构（属性信息）.csv,机构名|别称,简介
action_institution_attribute_url,机构（属性信息）.csv,机构名|别称,网址
action_institution_attribute_mission,机构（属性信息）.csv,机构名|别称,使命
action_institution_attribute_number__of__people,机构（属性信息）.csv,机构名|别称,人数
action_institution_attribute_strategic__objective,机构（属性信息）.csv,机构名|别称,战略目标
action_position_attribute_term,职位+智能.csv,职位,任期
action_project_attribute_introduction,项目.csv,名称,简介
action_project_attribute_online__time,项目.csv,名称,上线时间
action_project_attribute_release__time,项目.csv,名称,发布时间
action_scientific__research__device_properties_introduction,科研装置.csv,名称,简介
